point_index,label,point_re,point_im,value_re,value_im,magnitude,phase,direct_reference_re,direct_reference_im,absolute_error,samples_used
0,omega=0,0,0,1.8614359812722323e-16,0,1.8614359812722323e-16,0,1.8614359812722323e-16,0,0,2001
1,omega=1,1,0,2.341162830072705e-17,1.3306209975007255e-16,1.3510598332268507e-16,1.396633763268964,2.341162830072705e-17,1.3306209975007255e-16,0,2001
2,omega=2,2,0,-5.778495002307018e-17,-3.1415926535897993,3.1415926535897993,-1.5707963267948968,-5.778495002307018e-17,-3.1415926535897993,0,2001
3,omega=3,3,0,1.9219480150240795e-16,-1.99368315317172e-16,2.769233953225284e-16,-0.8037163121715593,1.9219480150240795e-16,-1.99368315317172e-16,0,2001
4,omega=-2,-2,0,-5.778495002307018e-17,3.1415926535897993,3.1415926535897993,1.5707963267948968,-5.778495002307018e-17,3.1415926535897993,0,2001
