t,y
0.00000000,1.000000000000
0.05000000,0.975309912109
0.10000000,0.951229424659
0.15000000,0.927743486560
0.20000000,0.904837418337
0.25000000,0.882496902951
0.30000000,0.860707976854
0.35000000,0.839457021257
0.40000000,0.818730753622
0.45000000,0.798516219357
0.50000000,0.778800783719
0.55000000,0.759572123919
0.60000000,0.740818221420
0.65000000,0.722527354423
0.70000000,0.704688090538
0.75000000,0.687289279648
0.80000000,0.670320046927
0.85000000,0.653769786053
0.90000000,0.637628152575
0.95000000,0.621885057447
1.00000000,0.606530660721
1.05000000,0.591555365399
1.10000000,0.576949811435
1.15000000,0.562704869882
1.20000000,0.548811637188
1.25000000,0.535261429631
1.30000000,0.522045777889
1.35000000,0.509156421750
1.40000000,0.496585304947
1.45000000,0.484324570122
1.50000000,0.472366553919
1.55000000,0.460703782186
1.60000000,0.449328965312
1.65000000,0.438234993667
1.70000000,0.427414933156
1.75000000,0.416862020891
1.80000000,0.406569660957
1.85000000,0.396531420294
1.90000000,0.386741024676
1.95000000,0.377192354786
2.00000000,0.367879442394
