k,T,best_cost,current_cost
0,50,366.54687894677267,366.54687894677267
1,49.9,366.54687894677267,366.54687894677267
2,49.8002,366.54687894677267,402.8740053470407
3,49.700599600000004,366.54687894677267,402.8740053470407
4,49.6011984008,366.54687894677267,402.8740053470407
5,49.5019960039984,366.5468789467726,366.5468789467726
6,49.402992011990406,293.8926261462365,293.8926261462365
7,49.30418602796642,293.8926261462365,293.8926261462365
8,49.20557765591049,293.8926261462365,293.8926261462365
9,49.10716650059867,293.8926261462365,293.8926261462365
10,49.00895216759747,293.8926261462365,366.54687894677267
11,48.91093426326228,293.8926261462365,366.5468789467726
12,48.813112394735754,293.8926261462365,293.8926261462366
13,48.71548616994628,293.8926261462365,293.8926261462366
14,48.61805519760639,293.8926261462365,293.8926261462366
15,48.52081908721117,293.8926261462365,293.8926261462365
16,48.423777449036756,293.8926261462365,293.8926261462365
17,48.32692989413868,293.8926261462365,366.54687894677267
18,48.2302760343504,293.8926261462365,402.8740053470407
19,48.1338154822817,293.8926261462365,366.54687894677267
20,48.037547851317136,293.8926261462365,366.54687894677267
21,47.9414727556145,293.8926261462365,293.8926261462366
22,47.84558981010327,293.8926261462365,293.8926261462366
23,47.74989863048307,293.8926261462365,366.54687894677267
24,47.6543988332221,293.8926261462365,402.87400534704074
25,47.559090035555656,293.8926261462365,366.5468789467726
26,47.463971855484544,293.8926261462365,366.5468789467726
27,47.36904391177357,293.8926261462365,366.5468789467726
28,47.27430582395002,293.8926261462365,402.8740053470407
29,47.17975721230213,293.8926261462365,366.5468789467726
30,47.085397697877525,293.8926261462365,366.5468789467726
31,46.99122690248177,293.8926261462365,366.5468789467726
32,46.89724444867681,293.8926261462365,366.5468789467726
33,46.803449959779456,293.8926261462365,402.8740053470407
34,46.70984305985989,293.8926261462365,366.54687894677267
35,46.616423373740176,293.8926261462365,366.54687894677267
36,46.52319052699269,293.8926261462365,366.5468789467726
37,46.430144145938705,293.8926261462365,366.5468789467726
38,46.337283857646824,293.8926261462365,402.87400534704074
39,46.24460928993153,293.8926261462365,366.54687894677267
40,46.15212007135167,293.8926261462365,293.8926261462366
41,46.059815831208965,293.8926261462365,293.8926261462366
42,45.96769619954655,293.8926261462365,293.8926261462366
43,45.87576080714746,293.8926261462365,293.8926261462366
44,45.78400928553316,293.8926261462365,293.8926261462366
45,45.6924412669621,293.8926261462365,293.8926261462366
46,45.601056384428176,293.8926261462365,293.8926261462366
47,45.509854271659314,293.8926261462365,366.54687894677267
48,45.41883456311599,293.8926261462365,366.54687894677267
49,45.32799689398976,293.8926261462365,366.54687894677267
50,45.23734090020179,293.8926261462365,366.5468789467726
51,45.146866218401385,293.8926261462365,366.5468789467726
52,45.05657248596458,293.8926261462365,293.8926261462365
53,44.96645934099265,293.8926261462365,293.8926261462366
54,44.87652642231066,293.8926261462365,293.8926261462366
55,44.78677336946604,293.8926261462365,293.8926261462366
56,44.69719982272711,293.8926261462365,366.5468789467726
57,44.60780542308165,293.8926261462365,366.5468789467726
58,44.51858981223549,293.8926261462365,402.8740053470407
59,44.42955263261102,293.8926261462365,402.8740053470407
60,44.3406935273458,293.8926261462365,475.5282581475768
61,44.25201214029111,293.8926261462365,402.8740053470407
62,44.163508116010526,293.8926261462365,366.5468789467726
63,44.075181099778504,293.8926261462365,366.5468789467726
64,43.98703073757895,293.8926261462365,402.8740053470407
65,43.89905667610379,293.8926261462365,402.8740053470407
66,43.81125856275158,293.8926261462365,402.8740053470407
67,43.72363604562608,293.8926261462365,402.8740053470407
