k,T,best_cost,current_cost
0,200,604.4547229710716,604.4547229710716
1,199.00247096239693,604.4547229710716,1450.38564812103
2,198.00991724569818,604.4547229710716,1336.1567944346252
3,197.02231403476839,604.4547229710716,1290.7214746534428
4,196.03963663824123,604.4547229710716,1400.2579383044333
5,195.0618604879022,604.4547229710716,1349.6622449499935
6,194.08896113807444,604.4547229710716,1234.539114243286
7,193.12091426500723,604.4547229710716,1216.6690350797583
8,192.15769566626824,604.4547229710716,1232.8491454815182
9,191.19928126013826,604.4547229710716,1291.51818302825
10,190.24564708500915,604.4547229710716,1353.9391110435356
11,189.29676929878477,604.4547229710716,1340.6218547324556
12,188.35262417828483,604.4547229710716,1329.0382109755087
13,187.41318811865196,604.4547229710716,1477.6562730201651
14,186.47843763276134,604.4547229710716,1137.6116144768769
15,185.54834935063369,604.4547229710716,1400.2596799184162
16,184.62290001885083,604.4547229710716,1238.615030340553
17,183.70206649997436,604.4547229710716,1486.289760590481
18,182.78582577196732,604.4547229710716,1398.2501645199716
19,181.87415492761835,604.4547229710716,1470.1570001340888
20,180.96703117396927,604.4547229710716,1600.1072178725826
21,180.064431831745,604.4547229710716,1208.238367251091
22,179.16633433478668,604.4547229710716,1220.7460574822285
23,178.27271622948743,604.4547229710716,1261.917126759881
24,177.38355517423102,604.4547229710716,1363.6383794342485
25,176.4988289388332,604.4547229710716,1429.0011298277411
26,175.61851540398612,604.4547229710716,1183.2743619560417
27,174.74259256070502,604.4547229710716,1450.0919162738141
28,173.87103850977832,604.4547229710716,1551.3054089091045
29,173.00383146121982,604.4547229710716,1379.1596536168345
30,172.14094973372403,604.4547229710716,1250.4475124734224
31,171.28237175412423,604.4547229710716,1446.4753190484316
32,170.42807605685292,604.4547229710716,1322.0025246088258
33,169.57804128340527,604.4547229710716,1320.844918542261
34,168.732246181805,604.4547229710716,1558.969014870673
35,167.89066960607332,604.4547229710716,1324.0427029613347
36,167.05329051569993,604.4547229710716,1170.8718281308663
37,166.22008797511717,604.4547229710716,1227.6613274979698
38,165.39104115317662,604.4547229710716,1378.907007661113
